Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare
2024,2,31986,32211,"Grand Rapids, MI","Las Vegas, NV",1642,316,221.69
2024,2,31986,32575,"Grand Rapids, MI","Los Angeles, CA (Metropolitan Area)",1874,303,318.54
2024,2,31714,31703,"Fort Myers, FL","New York City, NY (Metropolitan Area)",1102,3186,206.52
2024,2,31995,31703,"Greensboro/High Point, NC","New York City, NY (Metropolitan Area)",481,715,202.74
2024,2,32206,31453,"Harlingen/San Benito, TX","Houston, TX",295,329,138.96
2024,2,32211,30198,"Las Vegas, NV","Pittsburgh, PA",1910,741,249.0
2024,2,32211,30436,"Las Vegas, NV","Tucson, AZ",365,301,185.63
2024,2,32211,30466,"Las Vegas, NV","Phoenix, AZ",255,1955,158.31
2024,2,32211,30559,"Las Vegas, NV","Seattle, WA",867,3388,182.58
2024,2,32211,30693,"Las Vegas, NV","Nashville, TN",1587,1055,269.28
2024,2,31871,31703,"Greenville/Spartanburg, SC","New York City, NY (Metropolitan Area)",643,718,203.12
2024,2,32211,31123,"Las Vegas, NV","St. Louis, MO",1371,1022,226.3
2024,2,32211,31454,"Las Vegas, NV","Orlando, FL",2039,1421,249.46
2024,2,32211,31650,"Las Vegas, NV","Minneapolis/St. Paul, MN",1299,2290,171.21
2024,2,32211,31703,"Las Vegas, NV","New York City, NY (Metropolitan Area)",2282,5052,357.5
2024,2,32211,31884,"Las Vegas, NV","Spokane, WA",806,428,214.64
2024,2,32211,32457,"Las Vegas, NV","San Francisco, CA (Metropolitan Area)",414,6582,157.89
2024,2,32211,32467,"Las Vegas, NV","Miami, FL (Metropolitan Area)",2174,2054,270.8
2024,2,31986,33195,"Grand Rapids, MI","Tampa, FL (Metropolitan Area)",1044,395,148.96
2024,2,31703,31123,"New York City, NY (Metropolitan Area)","St. Louis, MO",929,1577,237.37
2024,2,31703,31454,"New York City, NY (Metropolitan Area)","Orlando, FL",989,13302,183.07
2024,2,31703,32323,"New York City, NY (Metropolitan Area)","Wilmington, NC",522,514,208.52
2024,2,31703,32457,"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2619,9142,476.77
2024,2,31703,33192,"New York City, NY (Metropolitan Area)","Sacramento, CA",2553,948,298.75
2024,2,31703,33195,"New York City, NY (Metropolitan Area)","Tampa, FL (Metropolitan Area)",1055,6001,193.77
2024,2,31703,33214,"New York City, NY (Metropolitan Area)","San Antonio, TX",1624,1315,241.63
2024,2,31650,34057,"Minneapolis/St. Paul, MN","Portland, OR",1426,787,231.26
2024,2,31703,33570,"New York City, NY (Metropolitan Area)","San Diego, CA",2481,3412,320.66
2024,2,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",318,814,187.22
2024,2,31703,33728,"New York City, NY (Metropolitan Area)","Pensacola, FL",1063,263,296.36
2024,2,31703,33851,"New York City, NY (Metropolitan Area)","Oklahoma City, OK",1381,443,301.29
2024,2,31703,34027,"New York City, NY (Metropolitan Area)","West Palm Beach/Palm Beach, FL",1056,7160,206.06
2024,2,31703,34057,"New York City, NY (Metropolitan Area)","Portland, OR",2454,1440,312.28
2024,2,31703,34262,"New York City, NY (Metropolitan Area)","Palm Springs, CA",2381,320,381.19
2024,2,31703,30852,"New York City, NY (Metropolitan Area)","Washington, DC (Metropolitan Area)",234,2761,221.6
2024,2,31703,34492,"New York City, NY (Metropolitan Area)","Raleigh/Durham, NC",459,3588,179.13
2024,2,31703,34524,"New York City, NY (Metropolitan Area)","Richmond, VA",321,779,212.3
2024,2,31703,34570,"New York City, NY (Metropolitan Area)","Reno, NV",2411,271,351.28
2024,2,31703,34576,"New York City, NY (Metropolitan Area)","Rochester, NY",285,688,181.28
2024,2,31703,34614,"New York City, NY (Metropolitan Area)","Salt Lake City, UT",2022,1654,328.12
2024,2,31703,34685,"New York City, NY (Metropolitan Area)","Savannah, GA",748,1388,209.77
2024,2,31703,34986,"New York City, NY (Metropolitan Area)","Sarasota/Bradenton, FL",1069,1166,240.87
2024,2,31703,33316,"New York City, NY (Metropolitan Area)","Omaha, NE",1188,483,308.67
2024,2,31714,30198,"Fort Myers, FL","Pittsburgh, PA",966,411,211.16
2024,2,31714,30529,"Fort Myers, FL","Hartford, CT",1180,332,200.0
2024,2,31714,30693,"Fort Myers, FL","Nashville, TN",722,293,240.1
2024,2,31714,30852,"Fort Myers, FL","Washington, DC (Metropolitan Area)",919,1131,194.92
